sub	run	trial	soa	audio	drive_Type	audio_Type	TTFF_FLWM	TTFF_HLWM	FLWM	HLWM
3	2	18	200	1	2	1	NA	NA	0	0
3	2	19	600	2	2	1	NA	NA	0	0
3	2	20	200	3	2	1	NA	NA	0	0
3	2	21	400	1	2	1	NA	NA	0	0
3	2	22	200	2	2	1	NA	NA	0	0
3	2	23	400	3	2	1	NA	NA	0	0
3	2	24	600	1	2	1	NA	NA	0	0
3	6	1	400	1	1	1	NA	NA	0	0
3	6	2	600	2	1	1	NA	NA	0	0
3	6	3	400	3	1	1	NA	NA	0	0
3	6	4	200	3	1	1	NA	NA	0	0
3	6	5	200	1	1	1	NA	NA	0	0
3	6	6	0	2	1	1	NA	NA	0	0
3	6	7	400	2	1	1	NA	NA	0	0
3	6	8	600	1	1	1	NA	NA	0	0
3	6	9	0	3	1	1	NA	NA	0	0
3	6	10	0	1	1	1	NA	NA	0	0
3	6	11	600	3	1	1	NA	NA	0	0
3	6	12	400	1	1	1	NA	NA	0	0
3	6	13	0	3	1	1	NA	NA	0	0
3	6	14	200	2	1	1	NA	NA	0	0
3	6	15	400	3	1	1	NA	NA	0	0
3	6	16	600	2	1	1	NA	NA	0	0
3	6	17	0	1	1	1	NA	NA	0	0
3	6	18	600	3	1	1	NA	NA	0	0
3	6	19	400	2	1	1	NA	NA	0	0
3	6	20	200	2	1	1	NA	NA	0	0
3	6	21	200	3	1	1	NA	NA	0	0
3	6	22	600	1	1	1	NA	NA	0	0
3	6	23	0	2	1	1	NA	NA	0	0
4	4	1	600	3	2	1	0.183027	NA	1	0
4	4	2	200	3	2	1	0.2995093	NA	1	0
4	4	3	600	1	2	1	0.4492743	NA	1	0
4	4	4	600	1	2	1	0.432613	NA	1	0
4	4	5	0	3	2	1	NA	0.6322996	0	1
4	4	6	0	2	2	1	NA	0.6156382	0	1
4	4	7	200	1	2	1	0.6489283	NA	1	0
4	4	8	400	2	2	1	NA	0.0665523	0	1
4	4	9	600	2	2	1	NA	0	0	1
4	4	10	200	2	2	1	NA	0.1996479	0	1
4	4	11	600	3	2	1	NA	0.3993472	0	1
4	4	12	0	2	2	1	NA	0.3660693	0	1
4	4	13	200	3	2	1	NA	0.2995138	0	1
4	4	14	400	3	2	1	0.1663774	NA	1	0
4	4	15	400	1	2	1	0.3327861	NA	1	0
4	4	16	400	1	2	1	0.1830637	NA	1	0
4	4	17	400	3	2	1	NA	0.4494149	0	1
4	4	18	400	2	2	1	NA	0.5657365	0	1
4	4	19	0	1	2	1	0.4492504	NA	1	0
4	4	20	600	2	2	1	NA	0.0166587	0	1
4	4	21	0	3	2	1	0.5823684	NA	1	0
4	4	22	0	1	2	1	NA	NA	0	0
4	4	23	200	1	2	1	0.3827543	NA	1	0
4	4	24	200	2	2	1	NA	0.2829675	0	1
4	8	1	200	3	1	1	0.5158219	NA	1	0
4	8	2	200	1	1	1	NA	0	0	1
4	8	3	600	2	1	1	0	NA	1	0
4	8	4	0	3	1	1	0.3660378	NA	1	0
4	8	5	200	1	1	1	NA	0.3827068	0	1
4	8	6	600	3	1	1	0	NA	1	0
4	8	7	400	3	1	1	NA	0	0	1
4	8	8	600	3	1	1	NA	0	0	1
4	8	9	600	1	1	1	NA	0	0	1
4	8	10	600	1	1	1	NA	0.0166366	0	1
4	8	11	400	1	1	1	NA	0.0334152	0	1
4	8	12	200	2	1	1	0.2496174	NA	1	0
4	8	13	0	3	1	1	NA	0.4990944	0	1
4	8	14	400	1	1	1	NA	0.3161371	0	1
4	8	15	0	1	1	1	NA	0.4658889	0	1
4	8	16	0	2	1	1	0.3494032	NA	1	0
4	8	17	200	2	1	1	0.1996712	NA	1	0
4	8	18	400	2	1	1	0.2329032	NA	1	0
4	8	19	400	3	1	1	0.4492809	NA	1	0
4	8	20	200	3	1	1	NA	0.216364	0	1
4	8	21	400	2	1	1	0.1164853	NA	1	0
4	8	22	0	1	1	1	NA	0.5823825	0	1
4	8	23	600	2	1	1	0	NA	1	0
4	8	24	0	2	1	1	0.4492636	NA	1	0
5	2	1	600	1	1	1	NA	NA	0	0
5	2	2	600	1	1	1	NA	NA	0	0
5	2	3	0	3	1	1	NA	1.1314717	0	1
5	2	4	400	2	1	1	NA	NA	0	0
5	2	5	200	2	1	1	NA	NA	0	0
5	2	6	400	2	1	1	NA	NA	0	0
5	2	7	600	3	1	1	NA	NA	0	0
5	2	8	200	1	1	1	NA	NA	0	0
5	2	9	0	3	1	1	NA	NA	0	0
5	2	10	0	1	1	1	NA	NA	0	0
5	2	11	400	3	1	1	NA	NA	0	0
5	2	12	400	3	1	1	NA	NA	0	0
5	2	13	0	2	1	1	NA	NA	0	0
5	2	14	600	2	1	1	NA	NA	0	0
5	2	15	0	1	1	1	NA	NA	0	0
5	2	16	200	2	1	1	NA	NA	0	0
5	2	17	0	2	1	1	NA	NA	0	0
5	2	18	600	2	1	1	NA	NA	0	0
5	2	19	200	3	1	1	NA	NA	0	0
5	2	20	400	1	1	1	NA	NA	0	0
5	2	21	600	3	1	1	NA	NA	0	0
5	2	22	400	1	1	1	NA	NA	0	0
5	2	23	200	1	1	1	NA	NA	0	0
5	2	24	200	3	1	1	NA	NA	0	0
5	6	1	0	2	2	1	NA	NA	0	0
5	6	2	400	1	2	1	NA	NA	0	0
5	6	3	600	2	2	1	NA	NA	0	0
5	6	4	400	2	2	1	NA	NA	0	0
5	6	5	400	3	2	1	NA	NA	0	0
5	6	6	200	3	2	1	NA	NA	0	0
5	6	7	200	1	2	1	NA	NA	0	0
5	6	8	600	1	2	1	NA	NA	0	0
5	6	9	0	3	2	1	NA	NA	0	0
5	6	10	600	3	2	1	NA	NA	0	0
5	6	11	0	2	2	1	NA	NA	0	0
5	6	12	0	3	2	1	NA	NA	0	0
5	6	13	400	3	2	1	NA	NA	0	0
5	6	14	600	3	2	1	NA	NA	0	0
5	6	15	400	1	2	1	NA	NA	0	0
5	6	16	200	3	2	1	NA	NA	0	0
5	6	17	200	1	2	1	NA	NA	0	0
5	6	18	200	2	2	1	NA	NA	0	0
5	6	19	600	2	2	1	NA	NA	0	0
5	6	20	600	1	2	1	NA	NA	0	0
5	6	21	200	2	2	1	NA	NA	0	0
5	6	22	400	2	2	1	NA	NA	0	0
5	6	23	0	1	2	1	NA	NA	0	0
5	6	24	0	1	2	1	NA	NA	0	0
6	4	1	600	2	1	1	NA	NA	0	0
6	4	2	0	2	1	1	1.4975408	NA	1	0
6	4	3	0	2	1	1	1.231285	NA	1	0
6	4	4	200	3	1	1	1.6805557	NA	1	0
6	4	5	400	1	1	1	NA	0.8320009	0	1
6	4	6	600	3	1	1	NA	1.015005	0	1
6	4	7	200	3	1	1	NA	0.8985103	0	1
6	4	8	200	2	1	1	0.9318101	NA	1	0
6	4	9	400	3	1	1	NA	0.9484743	0	1
6	4	10	200	1	1	1	NA	1.0983289	0	1
6	4	11	600	3	1	1	0.7654058	NA	1	0
6	4	12	400	3	1	1	0.8985214	NA	1	0
6	4	13	200	2	1	1	NA	NA	0	0
6	4	14	400	1	1	1	NA	0.6821994	0	1
6	4	15	600	1	1	1	NA	0.7322801	0	1
6	4	16	600	1	1	1	NA	NA	0	0
6	4	17	600	2	1	1	0.5656066	NA	1	0
6	4	18	0	1	1	1	NA	0.9650729	0	1
6	4	19	200	1	1	1	NA	NA	0	0
6	4	20	400	2	1	1	0.5491365	NA	1	0
6	4	21	0	3	1	1	1.0981719	NA	1	0
6	4	22	400	2	1	1	0.6489365	NA	1	0
6	4	23	0	1	1	1	NA	1.1647402	0	1
6	8	1	600	2	2	1	NA	0.6655692	0	1
6	8	2	400	2	2	1	NA	0.6322722	0	1
6	8	3	0	3	2	1	1.2144656	NA	1	0
6	8	4	200	1	2	1	0.9151648	NA	1	0
6	8	5	0	3	2	1	NA	0.8817245	0	1
6	8	6	0	2	2	1	NA	0.815341	0	1
6	8	7	200	1	2	1	0.8819204	NA	1	0
6	8	8	0	2	2	1	NA	0.8652378	0	1
6	8	9	600	2	2	1	NA	0.665564	0	1
6	8	10	400	1	2	1	1.5975384	NA	1	0
6	8	11	400	1	2	1	1.6306418	NA	1	0
6	8	12	0	1	2	1	1.2313041	NA	1	0
6	8	13	200	3	2	1	NA	0.9817094	0	1
6	8	14	200	3	2	1	0.8153175	NA	1	0
6	8	15	600	3	2	1	0.7155053	NA	1	0
6	8	16	600	3	2	1	NA	0.7154588	0	1
6	8	17	600	1	2	1	NA	NA	0	0
6	8	18	600	1	2	1	0.5657425	NA	1	0
